marca,equipo,item,descripcion,nro_parte,cod_comercial,observacion,unidad,stock,ubicacion
FAMBITION,FL04,1,FILTRO DIESEL,1206019021,,,UND,0,A
FAMBITION,FL04,2,FILTRO  COMBUSTIBLE ALTA PRECISIÓN,1418101011,22296415,,UND,8,A
FAMBITION,FL04,3,ELEMENTO FILTRANTE DE ACEITE HIDRÁULICO,1205002561,P161365,,UND,2,A
FAMBITION,FL04,4,FILTRO DE AIRE,1205002521,,,UND,2,A
FAMBITION,FL04,5,ELEMENTO FILTRANTE DE COMBUSTIBLE ,1615402011,24360739,,UND,2,A
FAMBITION,FL04,6,FILTRO SEPARADOR DE AGUA,,WK 1070 X,FALTA INDICAR N/P,UND,1,A
FAMBITION,FL04,7,ELEMENTO FILTRANTE SEPARADOR DE AGUA-COMBUSTIBLE,1418402011,21538975,,UND,1,A FT 15
FAMBITION,FL04,8,FILTRO ADMISION FL04 MOTOR VOLVO ,,P608676,,UND,0,A
FAMBITION,FL04,9,FILTRO ADMISION FL04 MOTOR VOLVO ,,P601560,,UND,0,A
FAMBITION,FL04,10,FILTRO SEPARADOR DE AGUA,1232420011,FS36226,,UND,5,A
FAMBITION,FL04,11,FILTRO DE ACEITE DE MOTOR -VOLVO,1369108911,24063084,VOLVO,UND,5,B FL 07
FAMBITION,FL04,12,ENGINE OIL FILTER ,1206019031,,,UND,1,A
FAMBITION,FL04,13,ELEMENTO FILTRANTE DE ACEITE DE TRANSMISION,1205301001,P165569,,UND,8,A
FAMBITION,FL04,14,KIT DE REPARACION PARA CILINDRO DE ELEVACION ,1229108505,,,UND,13,C
FAMBITION,FL04,15,LYFT CYLINDER KIT,1229108504,,,UND,2,C
FAMBITION,FL04,16,DUMP CYLINDER KIT,1205101504,,,UND,0,C
FAMBITION,FL04,17,KIT DE REPARACIÓN DEL CILINDRO DE DIRECCIÓN ,1218501505,,1 MOTOR VOLVO 1 MOTOR DEUTZ,UND,11,C
FAMBITION,FL04,18,STEERING CYLINDER KIT - CILINDRO DIRECCION,1218501504,,,UND,1,C
FAMBITION,FL04,19,KIT DE SELLOS DE CILINDRO  LEVANTE,1205108242,,,UND,2,C
FAMBITION,FL04,20,KIT DE REPARACIÓN DEL CILINDRO DE DIRECCIÓN,1218501231,,,UND,6,C
FAMBITION,FL04,21,FERRULE KIT,1200000601,,,UND,1,C
FAMBITION,FL04,22,KIT DE REPARACION,12721500,,,UND,1,C
FAMBITION,FL04,23,KIT DE REPARACION DE CONVERTIDOR DE PAR,12711400,,,UND,1,A
FAMBITION,FL04,24,KIT DE REPARACION PARA CILINDRO DE VOLTEO,1205101505,,,UND,12,C
FAMBITION,FL04,25,SENSOR ALTA PRESION FILTRO TRANSMISION,1324500161,,,UND,1,B
FAMBITION,FL04,26,SENSOR DE TEMPERATURA DE ACEITE,980779001,,,UND,1,B
